date,open,high,low,close,adj close,volume,volatility
2020-12-06,596.57,606.79,584.41,601.91,601.91,11290893016,0.0371816384509312
2020-12-07,601.8,602.92,585.43,591.84,591.84,10720480962,0.029551905920519074
2020-12-08,591.9,594.75,552.47,554.83,554.83,14398919320,0.07620352179947006
2020-12-09,554.79,577.29,533.0,573.48,573.48,15855915840,0.07723024342610023
2020-12-10,573.5,574.6,549.78,559.68,559.68,11672582040,0.04434676958261873
2020-12-11,559.68,560.38,537.81,545.8,545.8,11098819124,0.04135214364235994
2020-12-12,545.58,573.34,545.25,568.57,568.57,8534557897,0.04940464674534363
2020-12-13,568.61,593.78,564.57,589.66,589.66,9070377862,0.04953702133432813
2020-12-14,589.78,590.49,577.12,586.01,586.01,8125837102,0.022815310318936546
2020-12-15,586.02,596.25,580.63,589.36,589.36,9326645840,0.026503325641373702
2020-12-16,589.38,636.64,582.04,636.18,636.18,15817248373,0.08582476657549755
2020-12-17,636.15,673.83,628.75,642.87,642.87,25479532147,0.07012304198360483
2020-12-18,642.92,662.7,632.36,654.81,654.81,15756303983,0.046334051098792066
2020-12-19,654.62,668.77,646.62,659.3,659.3,12830893778,0.03359623843470344
2020-12-20,659.19,659.92,625.01,638.29,638.29,13375855442,0.05469300788043048
2020-12-21,638.32,646.85,600.84,609.82,609.82,14419493621,0.0754484929979338
2020-12-22,609.42,635.08,589.55,634.85,634.85,14745890080,0.07171772859730659
2020-12-23,634.82,637.12,560.36,583.71,583.71,15261413038,0.13150365763821073
2020-12-24,584.14,613.82,568.6,611.61,611.61,14317413703,0.07393600497048777
2020-12-25,611.55,633.06,605.42,626.41,626.41,13520927700,0.04412445522900335
2020-12-26,626.5,650.72,617.4,635.84,635.84,14761125202,0.052403120281831986
2020-12-27,635.89,711.39,628.33,682.64,682.64,26093552821,0.12167467479198399
2020-12-28,683.21,745.88,683.21,730.4,730.4,24222565862,0.08580230010952897
2020-12-29,730.36,737.95,692.15,731.52,731.52,18710683199,0.06260936132983387
2020-12-30,731.47,754.3,720.99,751.62,751.62,17294574210,0.04431760730156189
2020-12-31,751.63,754.3,726.51,737.8,737.8,13926846861,0.037666034155597675
2021-01-01,737.71,749.2,719.79,730.37,730.37,13652004358,0.04026726179881441
2021-01-02,730.4,786.8,718.11,774.53,774.53,19740771179,0.08868604185764263
2021-01-03,774.51,1006.57,771.56,975.51,975.51,45200463368,0.2409098830355405
2021-01-04,977.06,1153.19,912.31,1040.23,1040.23,56945985763,0.23156417330782625
2021-01-05,1041.5,1129.37,986.81,1100.01,1100.01,41535932781,0.12959882182889243
2021-01-06,1101.01,1209.43,1064.23,1207.11,1207.11,44699914188,0.1202872977607675
2021-01-07,1208.08,1282.58,1167.44,1225.68,1225.68,40468027280,0.09393969062071655
2021-01-08,1225.97,1273.83,1076.08,1224.2,1224.2,44334826666,0.16153406306159124
2021-01-09,1223.74,1303.87,1182.27,1281.08,1281.08,33233105361,0.09491991132481961
2021-01-10,1280.87,1347.93,1194.72,1262.25,1262.25,40616938053,0.12137849079025552
